Word_Unique_ID,PredictionNumber,Accuracy
QID21,8,0
QID21,9,0
QID21,10,0
QID22,1,0
QID22,2,0
QID22,3,0
QID22,4,0
QID22,5,0
QID22,6,0
QID22,7,0
QID22,8,0
QID22,9,0
QID22,10,0
QID23,1,0
QID23,2,0
QID23,3,0
QID23,4,0
QID23,5,0
QID23,6,0
QID23,7,0
QID23,8,0
QID23,9,0
QID23,10,0
QID24,1,1
QID24,2,1
QID24,3,1
QID24,4,1
QID24,5,1
QID24,6,1
QID24,7,1
QID24,8,1
QID24,9,1
QID24,10,1
QID25,1,1
QID25,2,1
QID25,3,1
QID25,4,1
QID25,5,1
QID25,6,1
QID25,7,1
QID25,8,1
QID25,9,1
QID25,10,1
QID26,1,0
QID26,2,0
QID26,3,0
QID26,4,0
QID26,5,0
QID26,6,0
QID26,7,0
QID26,8,0
QID26,9,0
QID26,10,0
QID27,1,0
QID27,2,1
QID27,3,1
QID27,4,1
QID27,5,1
QID27,6,1
QID27,7,1
QID27,8,1
QID27,9,1
QID27,10,1
QID28,1,0
QID28,2,0
QID28,3,1
QID28,4,1
QID28,5,1
QID28,6,1
QID28,7,1
QID28,8,1
QID28,9,1
QID28,10,1
QID29,1,1
QID29,2,1
QID29,3,1
QID29,4,1
QID29,5,1
QID29,6,1
QID29,7,1
QID29,8,1
QID29,9,1
QID29,10,1
QID30,1,0
QID30,2,0
QID30,3,0
QID30,4,0
QID30,5,0
QID30,6,0
QID30,7,0
QID30,8,0
QID30,9,0
QID30,10,0
QID31,1,1
QID31,2,1
QID31,3,1
QID31,4,1
QID31,5,1
QID31,6,1
QID31,7,1
QID31,8,1
QID31,9,1
QID31,10,1
QID32,1,0
QID32,2,1
QID32,3,1
QID32,4,1
QID32,5,1
QID32,6,1
QID32,7,1
QID32,8,1
QID32,9,1
QID32,10,1
QID33,1,1
QID33,2,1
QID33,3,1
QID33,4,1
QID33,5,1
QID33,6,1
QID33,7,1
QID33,8,1
QID33,9,1
QID33,10,1
QID34,1,1
QID34,2,1
QID34,3,1
QID34,4,1
QID34,5,1
QID34,6,1
QID34,7,1
QID34,8,1
QID34,9,1
QID34,10,1
QID35,1,0
QID35,2,0
QID35,3,0
QID35,4,0
QID35,5,0
QID35,6,0
QID35,7,0
QID35,8,0
QID35,9,0
QID35,10,0
QID36,1,1
QID36,2,1
QID36,3,1
QID36,4,1
QID36,5,1
QID36,6,1
QID36,7,1
QID36,8,1
QID36,9,1
QID36,10,1
QID37,1,0
QID37,2,0
QID37,3,0
QID37,4,0
QID37,5,0
QID37,6,0
QID37,7,0
QID37,8,0
QID37,9,0
QID37,10,1
QID38,1,0
QID38,2,0
QID38,3,0
QID38,4,0
QID38,5,0
QID38,6,0
QID38,7,1
QID38,8,1
QID38,9,1
QID38,10,1
QID39,1,1
QID39,2,1
QID39,3,1
QID39,4,1
QID39,5,1
QID39,6,1
QID39,7,1
QID39,8,1
QID39,9,1
QID39,10,1
QID40,1,0
QID40,2,1
QID40,3,1
QID40,4,1
QID40,5,1
QID40,6,1
QID40,7,1
QID40,8,1
QID40,9,1
QID40,10,1
QID41,1,0
QID41,2,0
QID41,3,0
QID41,4,0
QID41,5,0
QID41,6,0
QID41,7,0
QID41,8,0
QID41,9,0
QID41,10,0
QID42,1,1
QID42,2,1
QID42,3,1
QID42,4,1
QID42,5,1
QID42,6,1
QID42,7,1
QID42,8,1
QID42,9,1
QID42,10,1
QID43,1,0
QID43,2,0
QID43,3,0
QID43,4,0
QID43,5,0
QID43,6,0
QID43,7,0
QID43,8,0
QID43,9,0
QID43,10,0
QID44,1,1
QID44,2,1
QID44,3,1
QID44,4,1
QID44,5,1
QID44,6,1
QID44,7,1
QID44,8,1
QID44,9,1
QID44,10,1
QID45,1,1
QID45,2,1
QID45,3,1
QID45,4,1
QID45,5,1
QID45,6,1
QID45,7,1
QID45,8,1
QID45,9,1
QID45,10,1
QID46,1,0
QID46,2,0
QID46,3,1
QID46,4,1
QID46,5,1
QID46,6,1
QID46,7,1
QID46,8,1
QID46,9,1
QID46,10,1
QID47,1,0
QID47,2,1
QID47,3,1
QID47,4,1
QID47,5,1
QID47,6,1
QID47,7,1
QID47,8,1
QID47,9,1
QID47,10,1
QID48,1,0
QID48,2,0
QID48,3,0
QID48,4,1
QID48,5,1
QID48,6,1
QID48,7,1
QID48,8,1
QID48,9,1
QID48,10,1
QID49,1,0
QID49,2,0
QID49,3,0
QID49,4,0
QID49,5,0
QID49,6,0
QID49,7,0
QID49,8,0
QID49,9,0
QID49,10,0
QID50,1,1
QID50,2,1
QID50,3,1
QID50,4,1
QID50,5,1
QID50,6,1
QID50,7,1
QID50,8,1
QID50,9,1
QID50,10,1
QID51,1,0
QID51,2,0
QID51,3,0
QID51,4,0
QID51,5,0
QID51,6,0
QID51,7,0
QID51,8,0
QID51,9,0
QID51,10,0
QID52,1,0
QID52,2,0
QID52,3,0
QID52,4,0
QID52,5,1
QID52,6,1
QID52,7,1
QID52,8,1
QID52,9,1
QID52,10,1
QID53,1,0
QID53,2,0
QID53,3,0
QID53,4,0
QID53,5,0
QID53,6,0
QID53,7,0
QID53,8,0
QID53,9,0
QID53,10,0
QID54,1,0
QID54,2,1
QID54,3,1
QID54,4,1
QID54,5,1
QID54,6,1
QID54,7,1
QID54,8,1
QID54,9,1
QID54,10,1
QID55,1,0
QID55,2,0
QID55,3,1
QID55,4,1
QID55,5,1
QID55,6,1
QID55,7,1
QID55,8,1
QID55,9,1
QID55,10,1
QID56,1,1
QID56,2,1
QID56,3,1
QID56,4,1
QID56,5,1
QID56,6,1
QID56,7,1
QID56,8,1
QID56,9,1
QID56,10,1
QID58,1,0
QID58,2,0
QID58,3,0
QID58,4,0
QID58,5,0
QID58,6,0
QID58,7,0
QID58,8,0
QID58,9,0
QID58,10,0
QID59,1,1
QID59,2,1
QID59,3,1
QID59,4,1
QID59,5,1
QID59,6,1
QID59,7,1
QID59,8,1
QID59,9,1
QID59,10,1
QID60,1,1
QID60,2,1
QID60,3,1
QID60,4,1
QID60,5,1
QID60,6,1
QID60,7,1
QID60,8,1
QID60,9,1
QID60,10,1
QID61,1,0
QID61,2,0
QID61,3,0
QID61,4,0
QID61,5,0
QID61,6,0
QID61,7,0
QID61,8,0
QID61,9,0
QID61,10,0
QID62,1,0
QID62,2,0
QID62,3,0
QID62,4,0
QID62,5,0
QID62,6,0
QID62,7,0
QID62,8,0
QID62,9,0
QID62,10,0
QID63,1,0
QID63,2,0
QID63,3,0
QID63,4,0
QID63,5,0
QID63,6,0
QID63,7,0
QID63,8,0
QID63,9,0
QID63,10,0
QID64,1,0
QID64,2,0
QID64,3,0
QID64,4,0
QID64,5,0
QID64,6,0
QID64,7,0
QID64,8,0
QID64,9,0
QID64,10,0
QID65,1,0
QID65,2,1
QID65,3,1
QID65,4,1
QID65,5,1
QID65,6,1
QID65,7,1
QID65,8,1
QID65,9,1
QID65,10,1
QID66,1,0
QID66,2,0
QID66,3,0
QID66,4,0
QID66,5,0
QID66,6,0
QID66,7,0
QID66,8,0
QID66,9,0
QID66,10,0
QID67,1,1
QID67,2,1
QID67,3,1
QID67,4,1
QID67,5,1
QID67,6,1
QID67,7,1
QID67,8,1
QID67,9,1
QID67,10,1
QID68,1,0
QID68,2,0
QID68,3,0
QID68,4,0
QID68,5,0
QID68,6,0
QID68,7,0
QID68,8,0
QID68,9,0
QID68,10,0
QID69,1,0
QID69,2,0
QID69,3,0
QID69,4,0
QID69,5,0
QID69,6,0
QID69,7,0
QID69,8,0
QID69,9,0
QID69,10,0
QID70,1,0
QID70,2,0
QID70,3,0
QID70,4,0
QID70,5,0
QID70,6,0
QID70,7,0
QID70,8,0
QID70,9,0
QID70,10,0
QID71,1,0
QID71,2,0
QID71,3,0
QID71,4,0
QID71,5,0
QID71,6,0
QID71,7,0
QID71,8,0
QID71,9,0
QID71,10,0
QID72,1,0
QID72,2,0
QID72,3,1
QID72,4,1
QID72,5,1
QID72,6,1
QID72,7,1
QID72,8,1
QID72,9,1
QID72,10,1
QID73,1,1
QID73,2,1
QID73,3,1
QID73,4,1
QID73,5,1
QID73,6,1
QID73,7,1
QID73,8,1
QID73,9,1
QID73,10,1
QID74,1,0
QID74,2,0
QID74,3,0
QID74,4,0
QID74,5,0
QID74,6,1
QID74,7,1
QID74,8,1
QID74,9,1
QID74,10,1
QID75,1,1
QID75,2,1
QID75,3,1
QID75,4,1
QID75,5,1
QID75,6,1
QID75,7,1
QID75,8,1
QID75,9,1
QID75,10,1
QID76,1,0
QID76,2,0
QID76,3,1
QID76,4,1
QID76,5,1
QID76,6,1
QID76,7,1
QID76,8,1
QID76,9,1
QID76,10,1
QID77,1,0
QID77,2,0
QID77,3,0
QID77,4,0
QID77,5,0
QID77,6,0
QID77,7,0
QID77,8,0
QID77,9,0
QID77,10,1
QID78,1,1
QID78,2,1
QID78,3,1
QID78,4,1
QID78,5,1
QID78,6,1
QID78,7,1
QID78,8,1
QID78,9,1
QID78,10,1
QID79,1,0
QID79,2,0
QID79,3,0
QID79,4,1
QID79,5,1
QID79,6,1
QID79,7,1
QID79,8,1
QID79,9,1
QID79,10,1
QID80,1,1
QID80,2,1
QID80,3,1
QID80,4,1
QID80,5,1
QID80,6,1
QID80,7,1
QID80,8,1
QID80,9,1
QID80,10,1
QID81,1,0
QID81,2,0
QID81,3,0
QID81,4,0
QID81,5,0
QID81,6,1
QID81,7,1
QID81,8,1
QID81,9,1
QID81,10,1
QID82,1,0
QID82,2,0
QID82,3,0
QID82,4,0
QID82,5,0
QID82,6,0
QID82,7,0
QID82,8,0
QID82,9,0
QID82,10,0
QID83,1,1
QID83,2,1
QID83,3,1
QID83,4,1
QID83,5,1
QID83,6,1
QID83,7,1
QID83,8,1
QID83,9,1
QID83,10,1
QID84,1,0
QID84,2,0
QID84,3,0
QID84,4,0
QID84,5,0
QID84,6,0
QID84,7,0
QID84,8,0
QID84,9,0
QID84,10,0
QID85,1,1
QID85,2,1
QID85,3,1
QID85,4,1
QID85,5,1
QID85,6,1
QID85,7,1
QID85,8,1
QID85,9,1
QID85,10,1
QID86,1,0
QID86,2,0
QID86,3,0
QID86,4,0
QID86,5,0
QID86,6,0
QID86,7,0
QID86,8,0
QID86,9,1
QID86,10,1
QID87,1,0
QID87,2,0
QID87,3,0
QID87,4,0
QID87,5,0
QID87,6,1
QID87,7,1
QID87,8,1
QID87,9,1
QID87,10,1
QID88,1,1
QID88,2,1
QID88,3,1
QID88,4,1
QID88,5,1
QID88,6,1
QID88,7,1
QID88,8,1
QID88,9,1
QID88,10,1
QID89,1,0
QID89,2,0
QID89,3,0
QID89,4,0
QID89,5,0
QID89,6,0
QID89,7,0
QID89,8,0
QID89,9,0
QID89,10,0
QID90,1,1
QID90,2,1
QID90,3,1
QID90,4,1
QID90,5,1
QID90,6,1
QID90,7,1
QID90,8,1
QID90,9,1
QID90,10,1
QID91,1,0
QID91,2,0
QID91,3,0
QID91,4,0
QID91,5,0
QID91,6,0
QID91,7,0
QID91,8,0
QID91,9,0
QID91,10,0
QID92,1,0
QID92,2,0
QID92,3,0
QID92,4,0
QID92,5,0
QID92,6,0
QID92,7,0
QID92,8,0
QID92,9,0
QID92,10,0
QID92,1,0
QID92,2,0
QID92,3,0
QID92,4,0
QID92,5,0
QID92,6,0
QID92,7,0
QID92,8,0
QID92,9,0
QID92,10,0
QID92,1,0
QID92,2,0
QID92,3,0
QID92,4,0
QID92,5,0
QID92,6,0
QID92,7,0
QID92,8,0
QID92,9,0
QID92,10,0
QID93,1,0
QID93,2,0
QID93,3,0
QID93,4,0
QID93,5,0
QID93,6,0
QID93,7,0
QID93,8,0
QID93,9,0
QID93,10,0
QID94,1,0
QID94,2,0
QID94,3,0
QID94,4,0
QID94,5,0
QID94,6,0
QID94,7,0
QID94,8,0
QID94,9,1
QID94,10,1
QID95,1,0
QID95,2,0
QID95,3,0
QID95,4,0
QID95,5,1
QID95,6,1
QID95,7,1
QID95,8,1
QID95,9,1
QID95,10,1
QID96,1,0
QID96,2,0
QID96,3,0
QID96,4,1
QID96,5,1
QID96,6,1
QID96,7,1
QID96,8,1
QID96,9,1
QID96,10,1
QID97,1,1
QID97,2,1
QID97,3,1
QID97,4,1
QID97,5,1
QID97,6,1
QID97,7,1
QID97,8,1
QID97,9,1
QID97,10,1
QID98,1,0
QID98,2,0
QID98,3,0
QID98,4,0
QID98,5,0
QID98,6,0
QID98,7,0
QID98,8,0
QID98,9,0
QID98,10,0
QID99,1,0
QID99,2,0
QID99,3,0
QID99,4,0
QID99,5,0
QID99,6,0
QID99,7,0
QID99,8,0
QID99,9,0
QID99,10,0
QID100,1,0
QID100,2,0
QID100,3,0
QID100,4,0
QID100,5,0
QID100,6,0
QID100,7,0
QID100,8,0
QID100,9,0
QID100,10,0
QID101,1,0
QID101,2,0
QID101,3,1
QID101,4,1
QID101,5,1
QID101,6,1
QID101,7,1
QID101,8,1
QID101,9,1
QID101,10,1
QID102,1,0
QID102,2,0
QID102,3,0
QID102,4,0
QID102,5,0
QID102,6,0
QID102,7,0
QID102,8,0
QID102,9,0
QID102,10,0
QID103,1,1
QID103,2,1
QID103,3,1
QID103,4,1
QID103,5,1
QID103,6,1
QID103,7,1
QID103,8,1
QID103,9,1
QID103,10,1
QID104,1,0
QID104,2,0
QID104,3,0
QID104,4,0
QID104,5,0
QID104,6,0
QID104,7,0
QID104,8,0
QID104,9,0
QID104,10,0
QID105,1,1
QID105,2,1
QID105,3,1
QID105,4,1
QID105,5,1
QID105,6,1
QID105,7,1
QID105,8,1
QID105,9,1
QID105,10,1
QID106,1,0
QID106,2,0
QID106,3,0
QID106,4,0
QID106,5,0
QID106,6,0
QID106,7,0
QID106,8,0
QID106,9,0
QID106,10,0
QID107,1,1
QID107,2,1
QID107,3,1
QID107,4,1
QID107,5,1
QID107,6,1
QID107,7,1
QID107,8,1
QID107,9,1
QID107,10,1
QID108,1,1
QID108,2,1
QID108,3,1
QID108,4,1
QID108,5,1
QID108,6,1
QID108,7,1
QID108,8,1
QID108,9,1
QID108,10,1
QID109,1,0
QID109,2,0
QID109,3,0
QID109,4,0
QID109,5,0
QID109,6,0
QID109,7,0
QID109,8,0
QID109,9,0
QID109,10,0
QID110,1,0
QID110,2,0
QID110,3,0
QID110,4,0
QID110,5,0
QID110,6,0
QID110,7,0
QID110,8,0
QID110,9,0
QID110,10,1
QID111,1,1
QID111,2,1
QID111,3,1
QID111,4,1
QID111,5,1
QID111,6,1
QID111,7,1
QID111,8,1
QID111,9,1
QID111,10,1
QID112,1,0
QID112,2,1
QID112,3,1
QID112,4,1
QID112,5,1
QID112,6,1
QID112,7,1
QID112,8,1
QID112,9,1
QID112,10,1
QID113,1,0
QID113,2,0
QID113,3,0
QID113,4,0
QID113,5,0
QID113,6,0
QID113,7,1
QID113,8,1
QID113,9,1
QID113,10,1
QID114,1,1
QID114,2,1
QID114,3,1
QID114,4,1
QID114,5,1
QID114,6,1
QID114,7,1
QID114,8,1
QID114,9,1
QID114,10,1
QID115,1,0
QID115,2,0
QID115,3,0
QID115,4,0
QID115,5,0
QID115,6,0
QID115,7,0
QID115,8,0
QID115,9,0
QID115,10,0
QID117,1,0
QID117,2,0
QID117,3,0
QID117,4,0
QID117,5,0
QID117,6,0
QID117,7,0
QID117,8,0
QID117,9,0
QID117,10,0
QID118,1,0
QID118,2,0
QID118,3,0
QID118,4,1
QID118,5,1
QID118,6,1
QID118,7,1
QID118,8,1
QID118,9,1
QID118,10,1
QID119,1,0
QID119,2,0
QID119,3,0
QID119,4,0
QID119,5,0
QID119,6,0
QID119,7,0
QID119,8,0
QID119,9,0
QID119,10,0
QID120,1,0
QID120,2,0
QID120,3,0
QID120,4,0
QID120,5,0
QID120,6,0
QID120,7,0
QID120,8,0
QID120,9,0
QID120,10,0
QID121,1,0
QID121,2,1
QID121,3,1
QID121,4,1
QID121,5,1
QID121,6,1
QID121,7,1
QID121,8,1
QID121,9,1
QID121,10,1
QID122,1,0
QID122,2,1
QID122,3,1
QID122,4,1
QID122,5,1
QID122,6,1
QID122,7,1
QID122,8,1
QID122,9,1
QID122,10,1
QID123,1,0
QID123,2,0
QID123,3,0
QID123,4,0
QID123,5,1
QID123,6,1
QID123,7,1
QID123,8,1
QID123,9,1
QID123,10,1
QID124,1,1
QID124,2,1
QID124,3,1
QID124,4,1
QID124,5,1
QID124,6,1
QID124,7,1
QID124,8,1
QID124,9,1
QID124,10,1
QID125,1,0
QID125,2,1
QID125,3,1
QID125,4,1
QID125,5,1
QID125,6,1
QID125,7,1
QID125,8,1
QID125,9,1
QID125,10,1
QID126,1,0
QID126,2,0
QID126,3,0
QID126,4,0
QID126,5,0
QID126,6,1
QID126,7,1
QID126,8,1
QID126,9,1
QID126,10,1
QID127,1,1
QID127,2,1
QID127,3,1
QID127,4,1
QID127,5,1
QID127,6,1
QID127,7,1
QID127,8,1
QID127,9,1
QID127,10,1
QID128,1,1
QID128,2,1
QID128,3,1
QID128,4,1
QID128,5,1
QID128,6,1
QID128,7,1
QID128,8,1
QID128,9,1
QID128,10,1
QID129,1,0
QID129,2,0
QID129,3,0
QID129,4,0
QID129,5,0
QID129,6,0
QID129,7,0
QID129,8,0
QID129,9,0
QID129,10,0
QID130,1,0
QID130,2,0
QID130,3,1
QID130,4,1
QID130,5,1
QID130,6,1
QID130,7,1
QID130,8,1
QID130,9,1
QID130,10,1
QID131,1,1
QID131,2,1
QID131,3,1
QID131,4,1
QID131,5,1
QID131,6,1
QID131,7,1
QID131,8,1
QID131,9,1
QID131,10,1
QID132,1,0
QID132,2,0
QID132,3,0
QID132,4,0
QID132,5,0
QID132,6,0
QID132,7,0
QID132,8,1
QID132,9,1
QID132,10,1
QID133,1,0
QID133,2,0
QID133,3,0
QID133,4,0
QID133,5,1
QID133,6,1
QID133,7,1
QID133,8,1
QID133,9,1
QID133,10,1
QID134,1,0
QID134,2,0
QID134,3,0
QID134,4,0
QID134,5,0
QID134,6,0
QID134,7,0
QID134,8,0
QID134,9,0
QID134,10,0
QID135,1,1
QID135,2,1
QID135,3,1
QID135,4,1
QID135,5,1
QID135,6,1
QID135,7,1
QID135,8,1
QID135,9,1
QID135,10,1
QID136,1,0
QID136,2,0
QID136,3,0
QID136,4,0
QID136,5,0
QID136,6,0
QID136,7,0
QID136,8,0
QID136,9,0
QID136,10,0
QID137,1,1
QID137,2,1
QID137,3,1
QID137,4,1
QID137,5,1
QID137,6,1
QID137,7,1
QID137,8,1
QID137,9,1
QID137,10,1
QID138,1,0
QID138,2,0
QID138,3,0
QID138,4,0
QID138,5,0
QID138,6,0
QID138,7,0
QID138,8,0
QID138,9,0
QID138,10,0
QID139,1,0
QID139,2,0
QID139,3,0
QID139,4,0
QID139,5,0
QID139,6,0
QID139,7,0
QID139,8,1
QID139,9,1
QID139,10,1
QID140,1,0
QID140,2,1
QID140,3,1
QID140,4,1
QID140,5,1
QID140,6,1
QID140,7,1
QID140,8,1
QID140,9,1
QID140,10,1
QID141,1,0
QID141,2,0
QID141,3,0
QID141,4,0
QID141,5,0
QID141,6,0
QID141,7,0
QID141,8,0
QID141,9,0
QID141,10,0
QID142,1,0
QID142,2,0
QID142,3,1
QID142,4,1
QID142,5,1
QID142,6,1
QID142,7,1
QID142,8,1
QID142,9,1
QID142,10,1
QID143,1,0
QID143,2,0
QID143,3,0
QID143,4,0
QID143,5,0
QID143,6,0
QID143,7,0
QID143,8,0
QID143,9,0
QID143,10,0
QID144,1,1
QID144,2,1
QID144,3,1
QID144,4,1
QID144,5,1
QID144,6,1
QID144,7,1
QID144,8,1
QID144,9,1
QID144,10,1
QID145,1,1
QID145,2,1
QID145,3,1
QID145,4,1
QID145,5,1
QID145,6,1
QID145,7,1
QID145,8,1
QID145,9,1
QID145,10,1
QID146,1,1
QID146,2,1
QID146,3,1
QID146,4,1
QID146,5,1
QID146,6,1
QID146,7,1
QID146,8,1
QID146,9,1
QID146,10,1
QID147,1,1
QID147,2,1
QID147,3,1
QID147,4,1
QID147,5,1
QID147,6,1
QID147,7,1
QID147,8,1
QID147,9,1
QID147,10,1
QID148,1,1
QID148,2,1
QID148,3,1
QID148,4,1
QID148,5,1
QID148,6,1
QID148,7,1
QID148,8,1
QID148,9,1
QID148,10,1
QID149,1,0
QID149,2,0
QID149,3,0
QID149,4,0
QID149,5,0
QID149,6,0
QID149,7,0
QID149,8,1
QID149,9,1
QID149,10,1
QID150,1,0
QID150,2,0
QID150,3,0
QID150,4,0
QID150,5,0
QID150,6,0
QID150,7,0
QID150,8,0
QID150,9,0
QID150,10,0
QID151,1,1
QID151,2,1
QID151,3,1
QID151,4,1
QID151,5,1
QID151,6,1
QID151,7,1
QID151,8,1
QID151,9,1
QID151,10,1
QID152,1,0
QID152,2,0
QID152,3,0
QID152,4,0
QID152,5,0
QID152,6,0
QID152,7,0
QID152,8,0
QID152,9,0
QID152,10,0
QID153,1,1
QID153,2,1
QID153,3,1
QID153,4,1
QID153,5,1
QID153,6,1
QID153,7,1
QID153,8,1
QID153,9,1
QID153,10,1
QID154,1,0
QID154,2,0
QID154,3,0
QID154,4,0
QID154,5,0
QID154,6,0
QID154,7,1
QID154,8,1
QID154,9,1
QID154,10,1
QID155,1,0
QID155,2,1
QID155,3,1
QID155,4,1
QID155,5,1
QID155,6,1
QID155,7,1
QID155,8,1
QID155,9,1
QID155,10,1
QID156,1,1
QID156,2,1
QID156,3,1
QID156,4,1
QID156,5,1
QID156,6,1
QID156,7,1
QID156,8,1
QID156,9,1
QID156,10,1
QID157,1,0
QID157,2,1
QID157,3,1
QID157,4,1
QID157,5,1
QID157,6,1
QID157,7,1
QID157,8,1
QID157,9,1
QID157,10,1
QID158,1,0
QID158,2,0
QID158,3,0
QID158,4,0
QID158,5,1
QID158,6,1
QID158,7,1
QID158,8,1
QID158,9,1
QID158,10,1
QID159,1,0
QID159,2,0
QID159,3,0
QID159,4,0
QID159,5,0
QID159,6,0
QID159,7,0
QID159,8,0
QID159,9,0
QID159,10,0
QID159,1,0
QID159,2,0
QID159,3,0
QID159,4,0
QID159,5,0
QID159,6,0
QID159,7,0
QID159,8,0
QID159,9,0
QID159,10,0
QID160,1,0
QID160,2,0
QID160,3,0
QID160,4,0
QID160,5,0
QID160,6,0
QID160,7,0
QID160,8,0
QID160,9,0
QID160,10,0
QID162,1,0
QID162,2,1
QID162,3,1
QID162,4,1
QID162,5,1
QID162,6,1
QID162,7,1
QID162,8,1
QID162,9,1
QID162,10,1
QID163,1,1
QID163,2,1
QID163,3,1
QID163,4,1
QID163,5,1
QID163,6,1
QID163,7,1
QID163,8,1
QID163,9,1
QID163,10,1
QID164,1,1
QID164,2,1
QID164,3,1
QID164,4,1
QID164,5,1
QID164,6,1
QID164,7,1
QID164,8,1
QID164,9,1
QID164,10,1
QID165,1,0
QID165,2,0
QID165,3,0
QID165,4,1
QID165,5,1
QID165,6,1
QID165,7,1
QID165,8,1
QID165,9,1
QID165,10,1
QID166,1,0
QID166,2,0
QID166,3,0
QID166,4,0
QID166,5,0
QID166,6,0
QID166,7,0
QID166,8,0
QID166,9,0
QID166,10,0
QID167,1,1
QID167,2,1
QID167,3,1
QID167,4,1
QID167,5,1
QID167,6,1
QID167,7,1
QID167,8,1
QID167,9,1
QID167,10,1
QID168,1,0
QID168,2,0
QID168,3,0
QID168,4,0
QID168,5,0
QID168,6,0
QID168,7,0
QID168,8,0
QID168,9,0
QID168,10,0
QID168,1,0
QID168,2,0
QID168,3,0
QID168,4,0
QID168,5,0
QID168,6,0
QID168,7,0
QID168,8,0
QID168,9,0
QID168,10,0
QID169,1,0
QID169,2,0
QID169,3,0
QID169,4,0
QID169,5,0
QID169,6,0
QID169,7,0
QID169,8,1
QID169,9,1
QID169,10,1
QID170,1,1
QID170,2,1
QID170,3,1
QID170,4,1
QID170,5,1
QID170,6,1
QID170,7,1
QID170,8,1
QID170,9,1
QID170,10,1
QID171,1,0
QID171,2,0
QID171,3,0
QID171,4,0
QID171,5,1
QID171,6,1
QID171,7,1
QID171,8,1
QID171,9,1
QID171,10,1
QID172,1,0
QID172,2,0
QID172,3,0
QID172,4,0
QID172,5,0
QID172,6,0
QID172,7,0
QID172,8,0
QID172,9,0
QID172,10,0
QID173,1,0
QID173,2,0
QID173,3,0
QID173,4,0
