,Word_ID,Target,ClozeProbability,gptEntropy,gptSurprisal
55,QID55,a,0.025,4.366875122,2.082611084
56,QID56,song,0.95,3.7836479,0.554641664
57,QID58,days,0.023809524,11.59389534,6.615203857
58,QID59,later,0.095238095,3.218567944,0.925994873
59,QID60,the,0.238095238,8.872383394,2.24671936
60,QID61,british,0,11.30475879,6.116287231
61,QID62,astronomer,0,8.770416944,10.98345947
62,QID63,richard,0,8.871500779,3.926269531
63,QID64,carrington,0.024390244,8.929692141,6.889267921
64,QID65,was,0.073170732,7.205948556,2.342544556
65,QID66,observing,0.024390244,8.570469915,7.228225708
66,QID67,the,0.634146341,6.009170819,1.124198914
67,QID68,interesting,0,9.73267501,11.6224823
68,QID69,sunspot,0,9.754147388,6.904130459
69,QID70,group,0,9.133607155,6.63394165
70,QID71,through,0,8.265129164,7.247848511
71,QID72,his,0.4,4.689532117,2.039188385
72,QID73,telescope,0.780487805,5.593959641,0.737960815
73,QID74,when,0.307692308,3.9818297,3.006874084
74,QID75,he,0.585365854,3.017581451,0.446502656
75,QID76,saw,0.268292683,5.076213782,2.268684387
76,QID77,what,0,4.79241833,4.157356262
77,QID78,he,0.487804878,3.287196933,1.068466187
78,QID79,described,0.048780488,3.563943847,2.889556885
79,QID80,as,0.87804878,0.482057739,0.049236301
80,QID81,two,0,3.485140709,4.568180084
81,QID82,patches,0,8.77936761,7.420326233
82,QID83,of,0.853658537,2.572446839,0.352302581
83,QID84,intensely,0,8.149880838,8.064460754
84,QID85,bright,0.414634146,5.363122119,0.980155945
85,QID86,and,0.024390244,6.374698618,3.845436096
86,QID87,white,0.024390244,8.858162493,4.450126648
87,QID88,light,0.268292683,7.24441282,1.478393555
88,QID89,over,0,7.209603531,3.943351746
89,QID90,the,0.829268293,4.467953453,0.663856506
90,QID91,sunspots,0.025641026,8.256496323,5.615690231
91,QID92,he,0.390243902,5.263846854,2.612678528
92,QID92,he,0.097560976,5.263846854,2.612678528
93,QID92,he,0.024390244,5.263846854,2.612678528
94,QID93,jotted,0,7.037211561,10.12209797
95,QID94,a,0,1.352884583,5.367614746
96,QID95,note,0.341463415,6.941896025,3.895393372
97,QID96,in,0.097560976,4.211991674,2.670310974
98,QID97,his,0.804878049,3.626497033,0.842094421
99,QID98,painstaking,0,5.391959138,13.90255737
100,QID99,record,0.024390244,5.380948465,7.081245422
101,QID100,that,0.024390244,4.705860838,5.646392822
102,QID101,night,0.12195122,6.88031798,2.702102661
103,QID102,there,0.024390244,3.001048758,6.405651093
104,QID103,was,0.682926829,2.364123222,0.730400085
105,QID104,scarcely,0,4.816868416,7.623321533
106,QID105,a,0.365853659,2.962688372,0.815093994
107,QID106,square,0,8.156469838,8.341430664
108,QID107,inch,0.170731707,4.110429383,1.206321716
109,QID108,of,0.756097561,1.701006619,0.217452988
110,QID109,earth,0,7.307972104,6.165519714
111,QID110,that,0.658536585,5.072771033,4.136566162
112,QID111,was,0.55,5.293122772,1.55291748
113,QID112,not,0.55,5.702052113,1.878814697
114,QID113,illuminated,0.025,7.034344955,4.095542908
115,QID114,by,0.675,2.199676163,0.398773223
116,QID115,aurora,0,4.11402726,8.721587181
117,QID117,agree,0,11.11733967,8.230045319
118,QID118,that,0.428571429,4.023797594,2.130390167
119,QID119,california,0,8.433963157,9.529762268
120,QID120,three,0,10.66378908,7.619338989
121,QID121,strikes,0.095238095,5.7249774,1.83719635
122,QID122,and,0.142857143,1.982985246,3.377124786
123,QID123,you,0.56097561,8.764361091,3.336273193
124,QID124,out,0.976190476,3.147659153,0.499008149
125,QID125,law,0.261904762,4.301707112,1.262046814
126,QID126,will,0,5.677667381,3.414871216
127,QID127,be,0.285714286,6.768913811,2.159851074
128,QID128,a,0.238095238,8.029878912,2.222579956
129,QID129,financial,0,7.880899285,7.645271301
130,QID130,disaster,0.142857143,6.477345431,2.372558594
131,QID131,for,0.357142857,1.927436226,0.335853577
132,QID132,taxpayers,0,6.89219923,4.030799866
133,QID133,who,0.071428571,3.276484133,3.69203949
134,QID134,care,0,6.768353147,6.627883911
135,QID135,about,0.80952381,2.313882618,0.347389221
136,QID136,education,0,7.559835193,4.856681824
137,QID137,and,0.547619048,3.339872811,1.189544678
138,QID138,other,0.095238095,7.577697311,4.799209595
139,QID139,vital,0,6.869110215,3.767868042
140,QID140,services,0,4.709596989,1.683456421
141,QID141,but,0.023809524,5.009075194,1.417694092
142,QID142,it,0.166666667,6.629786725,2.483154297
143,QID143,far,0,5.643691864,4.677947998
144,QID144,from,0.380952381,2.589658518,0.597557068
145,QID145,clear,0,4.254345841,0.766265869
146,QID146,that,0.166666667,2.695291122,0.481422454
147,QID147,the,0.30952381,7.602830167,1.902870178
148,QID148,law,0.547619048,8.50114646,1.92956543
149,QID149,can,0,3.905887321,4.440315247
150,QID150,even,0,5.600070184,5.577919006
151,QID151,be,0.238095238,5.705025693,0.996528625
152,QID152,credited,0,7.060092821,7.566062927
153,QID153,with,0.166666667,2.389925091,0.885454237
154,QID154,a,0.095238095,6.646850156,3.644500732
155,QID155,reduction,0,7.820646883,3.227294922
156,QID156,in,0.523809524,0.636870029,0.080872536
157,QID157,crime,0.119047619,7.169490298,2.026580811
158,QID158,in,0.166666667,3.508155427,2.812240601
159,QID159,california,0.19047619,4.17691994,1.227043152
160,QID159,california,0.023809524,4.17691994,1.227043152
161,QID160,while,0,5.600126939,4.960418701
162,QID162,it,0.071428571,7.087134685,2.40953064
163,QID163,TRUE,0,5.532758926,1.191696167
164,QID164,that,0.904761905,1.04518939,0.099582702
165,QID165,crime,0.071428571,7.497962714,3.024269104
166,QID166,declined,0,4.846659938,4.68006134
167,QID167,in,0.30952381,4.896918772,1.163040161
168,QID168,california,0.30952381,5.299862084,1.590019226
169,QID168,california,0.047619048,5.299862084,1.590019226
170,QID169,last,0.048780488,4.37888811,3.48690033
171,QID170,year,0.952380952,0.31841758,0.030967729
172,QID171,crime,0.023809524,5.301204925,3.329353333
173,QID172,also,0.023809524,5.877711409,4.986915588
174,QID173,dropped,0.023809524,4.658800881,2.48588562
175,QID174,nationwide,0.048780488,4.74100962,3.344024658
176,QID175,was,0.214285714,9.859359495,4.507987976
177,QID176,in,0.023809524,9.394263373,4.051185608
178,QID177,a,0.261904762,7.698993235,2.224243164
179,QID178,bad,0.023809524,9.721919903,4.433601379
180,QID179,temper,0,3.438188069,6.855865479
181,QID180,for,0,6.515551033,5.650306702
182,QID181,she,0.238095238,6.14733205,1.190124512
183,QID182,was,0.166666667,6.537308902,1.642288208
184,QID183,mixing,0,9.055930159,9.286872864
185,QID184,the,0.142857143,6.985347097,3.877540588
186,QID185,christmas,0,11.27658803,8.91217041
187,QID186,puddings,0,8.885972775,8.797595024
188,QID187,in,0.023809524,3.663749851,3.021751404
189,QID188,the,0.30952381,5.299612022,1.747314453
190,QID189,kitchen,0.285714286,8.598399897,2.029548645
191,QID190,and,0.380952381,5.181325106,0.762550354
192,QID191,had,0,8.361592857,3.759811401
193,QID192,been,0.023809524,8.193204644,2.635742188
194,QID193,drawn,0,8.968140583,8.06098175
195,QID194,from,0,3.854229924,4.339828491
196,QID195,them,0,4.726395222,6.194580078
197,QID196,with,0,6.335507211,3.862724304
198,QID197,a,0.30952381,7.316208009,1.829933167
199,QID198,raisin,0,10.34531574,10.76637554
200,QID199,still,0.023809524,7.590829218,7.196098328
201,QID200,on,0.024390244,6.356815174,2.151733398
202,QID201,her,0.285714286,2.449797755,0.612400115
203,QID202,cheek,0.047619048,5.070721344,4.277626038
204,QID203,by,0.048780488,5.406787482,3.402557373
205,QID204,nana,0.023809524,6.204347051,8.753679276
206,QID205,absurd,0.023809524,10.96361676,9.368865967
207,QID206,suspicions,0.023809524,10.06020978,7.223121643
208,QID207,she,0.19047619,6.047030392,2.418136597
209,QID207,she,0.095238095,6.047030392,2.418136597
210,QID208,thought,0.023809524,7.214959759,4.29057312
211,QID209,the,0.047619048,5.191990438,3.035224915
212,QID210,best,0.023809524,10.68500693,5.347938538
213,QID211,way,0.333333333,5.383560537,1.213607788
214,QID212,of,0.023809524,1.953336125,2.204231262
215,QID213,getting,0.119047619,8.524046294,2.764701843
216,QID214,a,0.047619048,6.358880342,3.700569153
217,QID215,little,0.023809524,9.21833544,3.649902344
218,QID216,quiet,0.023809524,10.05324035,6.834289551
219,QID217,was,0.357142857,3.713699804,0.740623474
220,QID218,to,0.880952381,1.790579311,0.294692963
221,QID219,take,0.071428571,8.142217979,3.167510986
222,QID220,nana,0.095238095,5.574584419,3.1707232
223,QID221,to,0.571428571,4.600545886,2.239196777
224,QID222,the,0.619047619,5.599188945,1.149147034
225,QID223,nursery,0.023809524,9.795142549,5.561386108
226,QID224,for,0.071428571,3.932607233,3.577346802
227,QID225,a,0.476190476,6.406396396,1.314666748
228,QID226,moment,0.023809524,8.339820542,4.270050049
229,QID227,but,0.097560976,3.768136785,3.71824646
230,QID228,in,0.023809524,6.897366965,4.884353638
231,QID229,custody,0.024390244,4.904426847,12.33488464
232,QID230,of,0.785714286,5.739678133,2.623458862
233,QID231,course,0.023809524,6.114958724,8.054443359
234,QID233,darling,0,11.20485544,8.644416809
235,QID234,quivered,0,7.629953207,9.083945274
236,QID235,and,0.051282051,4.670417277,3.006858826
237,QID236,went,0,7.95015945,4.684532166
238,QID237,to,0.552631579,4.947650215,1.311668396
239,QID238,the,0.842105263,6.916860166,1.713050842
240,QID239,window,0.105263158,7.32767306,2.539505005
241,QID240,it,0.026315789,5.589505634,3.49054718
242,QID241,was,0.868421053,2.573154547,0.306365967
243,QID242,securely,0,7.788258422,11.87627411
244,QID243,fastened,0.342105263,4.612344239,5.575678825
245,QID244,she,0.5,6.373943958,2.539230347
246,QID244,she,0.236842105,6.373943958,2.539230347
247,QID245,looked,0.105263158,7.324053858,2.480033875
248,QID246,out,0.552631579,4.919807255,2.455093384
249,QID247,and,0.552631579,6.223016799,1.098983765
250,QID248,the,0.026315789,6.309504123,2.82950592
251,QID249,night,0.026315789,10.05593429,5.579521179
252,QID250,was,0.631578947,5.522420017,0.947624266
253,QID251,peppered,0,7.807527358,13.03709412
254,QID252,with,0.973684211,0.392182401,0.033096317
255,QID253,stars,0.631578947,9.365284984,3.839302063
256,QID254,they,0.083333333,6.128183502,4.163299561
257,QID255,were,0.315789474,5.458375398,0.879081726
258,QID256,crowding,0,9.315502886,11.03536034
259,QID257,round,0,4.994472491,2.136657715
260,QID258,the,0.710526316,4.313372351,1.105316162
261,QID259,house,0,8.705490054,2.313308716
262,QID260,as,0.052631579,6.746729424,4.044387817
263,QID261,if,0.236842105,5.580191398,1.252029419
264,QID262,curious,0,7.142927233,7.765579224
265,QID263,to,0.236842105,5.700047827,1.828132629
266,QID264,see,0.447368421,1.632089215,0.18598941
267,QID265,what,0.657894737,4.503862743,1.164108276
268,QID266,was,0.578947368,5.739011184,1.261566162
269,QID267,to,0,5.195544632,3.764709473
270,QID268,take,0.026315789,2.332813952,6.02633667
271,QID269,place,0.552631579,1.179891018,0.136749282
272,QID270,there,0,3.006585568,2.649543762
273,QID271,but,0.157894737,4.277014874,2.562072754
274,QID272,she,0.052631579,7.023514863,2.1512146
275,QID273,did,0.236842105,4.984093338,2.423171997
276,QID274,not,0.736842105,0.277112894,0.022163412
277,QID275,notice,0.105263158,6.446885928,2.765975952
278,QID276,this,0.026315789,4.363990629,5.796035767
279,QID277,nor,0,4.257749378,3.670631409
280,QID278,that,0.026315789,4.244321317,4.354980469
281,QID279,one,0,5.638305023,4.619651794
282,QID280,or,0.026315789,5.557207636,2.72038269
283,QID281,two,0.342105263,2.33815281,0.556827486
284,QID282,of,0.368421053,6.785446847,1.516830444
285,QID283,the,0.552631579,1.829899705,1.067222595
286,QID284,smaller,0,8.994863935,7.424064636
287,QID285,ones,0.131578947,7.828776159,1.973960876
288,QID286,winked,0,5.220576707,9.756210327
289,QID287,at,0.947368421,4.378895677,1.040672302
290,QID288,her,0.947368421,1.835138812,0.286712646
291,QID290,peter,0,10.15082744,9.797048569
292,QID291,slowly,0,9.631461157,7.898010254
293,QID292,advancing,0,9.301810315,7.595031738
294,QID293,upon,0,5.232016649,5.694541931
295,QID294,him,0.024390244,4.738648986,1.549190521
296,QID295,through,0,2.276813477,6.548278809
297,QID296,the,0.829268293,2.290419713,0.242740616
298,QID296,the,0.024390244,2.290419713,0.242740616
299,QID297,air,0,9.531273695,2.657432556
300,QID298,with,0.024390244,2.372191616,3.937278748
301,QID299,dagger,0,4.738263057,10.56891632
302,QID300,poised,0,5.798196262,7.179336548
303,QID301,he,0.243902439,7.477189962,1.438316345
304,QID302,sprang,0,8.127227972,7.801803589
305,QID303,upon,0.048780488,4.701285411,4.975524902
306,QID304,the,0.219512195,4.056693404,1.584480286
307,QID305,bulwarks,0,10.45266524,10.94447994
308,QID306,to,0.076923077,4.826831027,4.55947876
309,QID307,cast,0,8.526368747,6.832977295
310,QID308,himself,0.048780488,5.967899111,3.792755127
311,QID309,into,0.292682927,5.523174677,2.216644287
312,QID310,the,0.829268293,3.266952511,0.326210052
313,QID311,sea,0.073170732,7.329733413,4.220329285
314,QID312,he,0.3,6.054629962,2.813804626
315,QID312,he,0.125,6.054629962,2.813804626
316,QID313,did,0.048780488,8.302882796,4.092964172
317,QID314,not,0.634146341,2.267213062,0.862449706
318,QID315,know,0.048780488,7.785497068,2.657302856
319,QID316,that,0.317073171,4.296848946,2.395858765
320,QID317,the,0.195121951,6.384922643,1.789489746
321,QID318,crocodile,0.048780488,10.63321951,8.726655006
322,QID318,crocodile,0.024390244,10.63321951,8.726655006
323,QID319,was,0.756097561,5.916997062,1.458000183
324,QID320,waiting,0.341463415,8.775203566,5.228363037
325,QID321,for,0.536585366,2.864676835,0.47367093
326,QID322,him,0.853658537,1.365591693,0.162254363
327,QID323,for,0,4.482691678,1.793449402
328,QID324,we,0,5.782018886,7.72631073
329,QID325,purposely,0,6.458490629,12.14375305
330,QID326,stopped,0,8.438442961,5.51184082
331,QID327,the,0.56097561,4.964332188,1.637825012
332,QID328,clock,0.048780488,10.01215783,8.493507385
333,QID329,that,0.048780488,5.302967403,5.523368835
334,QID330,this,0.024390244,7.589361862,6.186828613
335,QID331,knowledge,0,8.801241051,10.74275208
336,QID332,might,0.024390244,5.330168523,1.887031555
337,QID333,be,0.268292683,7.716212138,1.970031738
338,QID334,spared,0,8.496708619,10.45853424
339,QID335,him,0.097560976,4.234242101,3.635124207
340,QID336,a,0.024390244,5.381749904,5.520256042
341,QID337,little,0.1,9.606678457,3.870269775
342,QID338,mark,0,5.785959352,10.96762848
343,QID339,of,0.2,6.362035191,1.627258301
344,QID340,respect,0.05,8.500777729,7.329421997
345,QID341,from,0.1,6.316712259,4.945327759
346,QID342,us,0.125,5.18372392,3.996627808
347,QID343,at,0.05,7.050326958,4.90171814
348,QID344,the,0.675,5.267864024,1.490211487
349,QID345,end,0.125,8.576447344,2.506248474
350,QID347,did,0,10.42637322,8.795754433
351,QID348,know,0.404761905,7.521218208,2.720397949
352,QID348,know,0.023809524,7.521218208,2.720397949
353,QID349,she,0.452380952,5.84877636,1.900733948
354,QID349,she,0.142857143,5.84877636,1.900733948
355,QID350,looked,0.023809524,6.53661478,3.768737793
356,QID351,around,0.166666667,4.618648435,2.675247192
357,QID352,her,0.047619048,4.790665483,3.097991943
358,QID353,anxiously,0.023809524,7.045353908,9.221323967
359,QID354,for,0.097560976,3.042787916,2.568183899
360,QID355,some,0.12195122,6.125852793,4.264122009
361,QID356,familiar,0.048780488,7.536870693,6.74080658
362,QID357,landmark,0.024390244,8.495422189,8.838859558
363,QID358,but,0.390243902,7.254837032,4.515541077
364,QID359,everything,0.025,6.737144487,6.228866577
365,QID360,was,0.536585366,5.125178274,1.580780029
366,QID360,was,0.024390244,5.125178274,1.580780029
367,QID361,strange,0.12195122,7.965784418,6.032653809
368,QID362,between,0.024390244,6.627340444,8.548377991
369,QID363,the,0.56097561,6.42033387,0.886566162
370,QID363,the,0.024390244,6.42033387,0.886566162
371,QID364,branches,0,11.17380845,7.308586121
372,QID365,of,0.487804878,3.730631152,0.810920715
373,QID365,of,0.024390244,3.730631152,0.810920715
374,QID366,the,0.682926829,4.054617229,0.793514252
375,QID366,the,0.024390244,4.054617229,0.793514252
376,QID367,many,0.024390244,8.808965136,8.425033569
377,QID368,roads,0.024390244,9.190518966,7.709869385
378,QID369,were,0.073170732,5.797568181,4.625579834
379,QID370,green,0.024390244,9.269995588,6.691108704
380,QID371,meadows,0.024390244,8.287544007,6.92358017
381,QID372,and,0.268292683,4.842630385,1.690513611
382,QID373,a,0.024390244,9.536804657,3.333244324
383,QID374,few,0.024390244,9.560841641,2.963691711
384,QID375,shrubs,0,9.420156393,5.894143105
385,QID376,and,0.1,5.265193822,3.133102417
386,QID377,trees,0.268292683,8.132697708,2.678398132
387,QID377,trees,0.048780488,8.132697708,2.678398132
388,QID378,but,0.219512195,7.600317845,2.666152954
389,QID379,she,0.205128205,6.185146907,3.032592773
390,QID380,could,0.170731707,4.624983244,2.387185335
391,QID381,see,0.243902439,5.153832991,1.40725708
392,QID382,the,0.12195122,4.577050304,2.249450684
393,QID382,the,0.024390244,4.577050304,2.249450684
394,QID383,farm-house,0,10.20200397,7.541460991
395,QID384,from,0.073170732,6.107831075,4.80670166
396,QID385,which,0.12195122,5.04270365,2.706687927
397,QID386,she,0.902439024,5.50878936,1.470611572
398,QID386,she,0.024390244,5.50878936,1.470611572
399,QID387,had,0.292682927,4.275179476,1.126327515
400,QID387,had,0.024390244,4.275179476,1.126327515
401,QID388,just,0.024390244,5.912126513,3.678588867
402,QID389,come,0.536585366,6.317888621,1.675689697
403,QID389,come,0.024390244,6.317888621,1.675689697
404,QID390,or,0.048780488,5.436206834,2.27532196
405,QID391,anything,0.024390244,4.525823895,4.120613098
406,QID392,she,0.12195122,5.839616564,2.942802429
407,QID393,had,0.146341463,3.671499045,1.774261475
408,QID394,ever,0.048780488,4.20021155,1.596405029
409,QID395,seen,0.682926829,2.024705485,0.255615264
410,QID396,before,0.9,3.91005962,1.624076843
411,QID396,before,0.05,3.91005962,1.624076843
412,QID397,except,0,5.421315201,2.432342529
413,QID398,the,0.146341463,4.581120445,1.75982666
414,QID398,the,0.024390244,4.581120445,1.75982666
415,QID399,shaggy,0,10.81468528,7.837340355
416,QID400,man,0,9.478081525,5.580932617
417,QID401,and,0.073170732,6.339521287,4.222267151
418,QID402,toto,0.024390244,4.793220801,10.18086529
419,QID404,human,0,12.72680422,7.591054916
420,QID405,body,0.162790698,7.341430297,1.604404449
421,QID405,body,0.023255814,7.341430297,1.604404449
422,QID406,can,0,5.493602948,3.792457581
423,QID407,tolerate,0,7.084850756,5.24797821
424,QID408,only,0,8.377949096,4.326469421
425,QID409,a,0.162790698,6.682798658,1.789123535
426,QID409,a,0.023255814,6.682798658,1.789123535
427,QID410,small,0.372093023,6.091573211,1.886016846
428,QID411,range,0,4.471093856,4.673706055
429,QID412,of,0.976744186,0.681877072,0.071640007
430,QID412,of,0.023255814,0.681877072,0.071640007
431,QID413,temperature,0.071428571,7.454826714,2.129684448
432,QID414,especially,0,7.199761996,5.464279175
433,QID415,when,0.348837209,5.64172851,1.514541626
434,QID416,the,0.302325581,7.928629974,2.55921936
435,QID417,person,0.046511628,7.378575798,5.233726501
436,QID418,is,0.860465116,3.123850907,0.375694275
437,QID418,is,0.023255814,3.123850907,0.375694275
438,QID419,engaged,0,8.361066591,5.622612
439,QID420,in,0.860465116,0.354861026,0.02884673
440,QID420,in,0.023255814,0.354861026,0.02884673
441,QID421,vigorous,0.023255814,7.74779572,3.555023193
442,QID422,activity,0.255813953,4.425791562,1.897666931
443,QID422,activity,0.023255814,4.425791562,1.897666931
444,QID423,heat,0.023255814,7.192732721,5.696090698
445,QID424,reactions,0.023255814,6.87023223,8.644355774
446,QID425,usually,0,6.087217922,5.553573608
447,QID426,occur,0.209302326,4.942038421,0.858596802
448,QID427,when,0.534883721,4.799315178,1.362213135
449,QID427,when,0.023255814,4.799315178,1.362213135
450,QID428,large,0,6.203307587,6.041374207
451,QID429,amounts,0.76744186,5.282929361,1.023590088
452,QID430,of,0.930232558,0.072480406,0.005888
453,QID430,of,0.023255814,0.072480406,0.005888
454,QID431,water,0.069767442,6.36910643,2.551872253
455,QID432,and/or,0,4.691980462,2.971748352
456,QID433,salt,0.069767442,7.22749523,3.598243713
457,QID434,are,0.523809524,4.601355236,0.642189026
458,QID434,are,0.023809524,4.601355236,0.642189026
459,QID435,lost,0.255813953,5.844998933,6.735565186
460,QID436,through,0.162790698,4.099102606,2.72063446
461,QID437,excessive,0,7.176831205,4.981552124
462,QID438,sweating,0.255813953,7.163823813,1.949050903
463,QID439,following,0.023255814,2.719555811,8.731048584
464,QID440,strenuous,0.046511628,6.382034022,3.759896278
465,QID441,exercise,0.418604651,3.265748632,0.778816223
466,QID442,when,0.046511628,7.411015165,3.902511597
467,QID442,when,0.023255814,7.411015165,3.902511597
468,QID443,the,0.325581395,7.279879082,1.68585968
469,QID444,body,0.651162791,5.471712309,1.288032532
470,QID445,becomes,0.069767442,5.499451734,3.571166992
471,QID446,overheated,0.162790698,7.042300872,3.974530935
472,QID447,and,0.093023256,2.745054302,2.60559082
473,QID448,can,0,8.321698386,4.573806763
474,QID449,eliminate,0.023255814,5.138651739,8.261886597
475,QID450,this,0,4.462336844,3.943641663
476,QID451,excess,0.119047619,6.928661616,3.391555786
477,QID452,heat,0.627906977,2.661474002,1.211746216
478,QID453,heat,0.047619048,5.793224587,3.822860718
479,QID454,exhaustion,0.023255814,8.164641077,3.884460449
480,QID455,and,0.046511628,4.833432065,3.549842834
481,QID456,heat,0.255813953,7.342739429,2.251022339
482,QID457,stroke,0.595238095,6.620533371,2.342514038
483,QID458,are,0.11627907,4.334525185,1.292648315
484,QID459,possible,0.162790698,6.563271403,4.049362183
485,QID460,was,0.125,9.7941251,3.677005768
486,QID461,a,0.275,8.293817934,1.85848999
487,QID462,forbidding,0,9.769882425,12.77669239
488,QID463,challenge,0,9.055140414,8.074760437
489,QID464,and,0,6.528226842,1.934150696
490,QID465,it,0.102564103,7.81777546,2.512664795
491,QID466,says,0,6.506039017,8.393722534
492,QID467,much,0.025,6.062323777,3.625602722
493,QID468,for,0.025,1.387258755,4.518661499
494,QID469,winstanley,0,7.531149862,10.29501152
495,QID470,persuasive,0,10.7036753,8.839942932
496,QID471,abilities,0.025,8.822721684,4.439750671
497,QID472,not,0,6.714951846,4.470466614
498,QID473,to,0.325,4.46078728,1.661750793
499,QID474,mention,0.333333333,0.625828829,0.054504372
500,QID475,his,0.358974359,3.816258906,0.736278534
501,QID476,self-confidence,0,10.88815765,6.558475494
502,QID477,that,0.289473684,5.979937208,1.381759644
503,QID478,the,0.051282051,8.238279233,4.302055359
504,QID479,admiralty,0,11.63938131,10.96655941
505,QID480,agreed,0,8.698832262,7.37739563
506,QID481,to,0.487179487,2.463138277,0.436550111
507,QID482,fund,0.025641026,8.525728284,6.471237183
508,QID483,him,0.076923077,5.307921535,2.611362457
509,QID484,no,0.027777778,5.620957133,6.115982056
510,QID485,lighthouse,0,8.034494238,11.48075104
511,QID486,had,0.102564103,7.94936489,2.85307312
512,QID487,ever,0.435897436,3.674099079,0.617782593
513,QID488,been,0.58974359,4.454443184,0.530227661
514,QID489,built,0.179487179,5.496702076,0.83757019
515,QID490,out,0,5.038763871,6.17918396
516,QID491,to,0.051282051,2.265475693,3.485870361
517,QID492,sea,0.205128205,7.803138361,2.520645142
518,QID493,on,0,4.040282131,3.981819153
519,QID494,an,0.051282051,6.0457646,3.903953552
520,QID495,isolated,0,6.726732658,6.193305969
521,QID496,rock,0.102564103,4.966916055,6.537078857
522,QID497,before,0.205128205,5.156329148,5.069107056
523,QID498,the,0.085714286,6.097800359,2.318313599
524,QID498,the,0.028571429,6.097800359,2.318313599
525,QID499,eddystone,0,11.18182628,11.88843536
526,QID500,is,0.025641026,8.170399745,3.926643372
527,QID501,hard,0,7.534464312,7.0390625
528,QID502,enough,0.105263158,1.650338638,5.1289711
529,QID503,to,0.736842105,1.942137646,0.281547576
530,QID504,avoid,0,7.762359898,6.436431885
531,QID505,but,0.435897436,4.719470513,0.996528625
532,QID506,landing,0.025641026,6.877415601,8.36844635
533,QID507,on,0.512820513,5.264031563,1.146438599
534,QID508,it,0.358974359,4.66359163,1.373325348
535,QID509,is,0.384615385,6.194775872,2.484924316
536,QID510,a,0.102564103,7.164414058,1.901115417
537,QID511,separate,0,9.452684503,7.38269043
538,QID512,challenge,0.205128205,5.535366527,3.416725159
539,QID513,entirely,0,2.862647956,5.764480591
540,QID515,clergyman,0,11.72531622,8.954317093
541,QID516,remarked,0,7.119307136,8.926139832
542,QID517,to,0.025,3.497629745,2.581451416
543,QID518,him,0,5.935973627,2.90845871
544,QID519,the,0.052631579,3.518432422,6.915725708
545,QID520,lord,0.097560976,10.95426503,3.626365662
546,QID521,is,0.146341463,6.759311675,2.236328125
547,QID522,on,0.048780488,8.410981459,5.121803284
548,QID523,our,0.219512195,4.926271395,2.832695007
549,QID524,side,0.853658537,2.414524973,0.247596741
